submission_id	party_id	age	age_band	sex	ethnicity	ai_catastrophe_0_10	humans_robots_pct	upsi_score
6a2abb40620f82f22373dc9d	Republican	39	35-49	Male	Black	7	70	S7
6a2abb4992b8c5ca9837e201	Independent	30	18-34	Female	Black	8	59	P8
6a2abb4c1f5eec2463c55eda	Democrat	18	18-34	Male	Other	9	14	D9
6a2abb4f07865df3e5c24898	Republican	39	35-49	Male	Mixed	9	13	D9
6a2abb80c0bb6a6a62fa5333	Republican	35	35-49	Male	Other	6	60	P6
6a2abb9488f7214cb22bafa9	Independent	25	18-34	Female	Other	6	51	N6
6a2abbb190e66044bfcd53c7	Democrat	47	35-49	Male	Black	7	38	J7
6a2abbba6654aaf958c4c2a7	Independent	22	18-34	Male	Black	3	50	N3
6a2abbc9163f0a836cd6e245	Independent	45	35-49	Male	Black	2	20	F2
6a2abbdc360d9ca1e3512222	Republican	79	65+	Female	White	3	88	W3
6a2abc2c162b47ffb0a18fae	Democrat	27	18-34	Male	Asian	10	19	E10
6a2abc328358547b32f597fe	Independent	39	35-49	Female	Black	1	50	N1
6a2abc50f667f39e1b3b93f2	Republican	37	35-49	Female	Asian	9	92	X9
6a2abcb1bd8335465d61157e	Republican	56	50-64	Male	Mixed	4	43	L4
6a2abcd2df98e6bf49a3bf42	Democrat	31	18-34	Female	White	9	90	X9
6a2abd2b649986774c267aac	Independent	40	35-49	Female	White	8	65	Q8
6a2abd3721c5e04224779360	Independent	50	50-64	Male	White	3	32	I3
6a2abd410710ee4987a3bf37	Democrat	29	18-34	Male	White	6	35	J6
6a2abdc7bbeaf181ec65c110	Independent	21	18-34	Female	Black	8	19	E8
6a2abdf030d1e07fc0927a4b	Democrat	47	35-49	Female	Mixed	6	25	G6
6a2abe69863976809a0b4c5b	Republican	26	18-34	Male	White	8	10	C8
6a2abe6bb565b8b39a06c3ea	Independent	27	18-34	Female	White	8	50	N8
6a2abe7d1eec87573ea3b3d4	Republican	25	18-34	Male	Mixed	6	53	N6
6a2abed8e6ecd9a15ac6ae97	Democrat	30	18-34	Male	Black	6	78	U6
6a2abeddd6aa3369e8de1289	Democrat	62	50-64	Female	White	6	27	H6
6a2abeeb920cc854820eeb0d	Democrat	51	50-64	Female	Asian	1	0	A1
6a2abf5ee9584449b3248232	Republican	58	50-64	Male	Black	6	48	M6
6a2ac0725736cbb85bab752d	Independent	61	50-64	Female	White	7	1	A7
6a2ac0a79f518ed42c2f0530	Republican	48	35-49	Female	Asian	7	78	U7
6a2ac1888f7df915e4817407	Democrat	55	50-64	Male	Black	2	27	H2
6a2ac1afbdcd7234f7b970a8	Republican	45	35-49	Male	Other	6	76	T6
6a2ac1d4df3acb9d8b73ff58	Republican	45	35-49	Male	Asian	7	67	R7
6a2ac237279069b07611040c	Independent	60	50-64	Male	Asian	6	87	W6
6a2ac256c18673f702645209	Independent	23	18-34	Female	White	10	100	Z10
6a2ac27a4ee9cb3b542f5fd0	Democrat	31	18-34	Female	Other	9	91	X9
6a2ac2a40fe4e43fd60ff931	Independent	48	35-49	Female	Mixed	7	95	Y7
6a2ac33a5527da704a4052b6	Independent	74	65+	Male	White	2	16	E2
6a2ac3dc6250185f60a4fbb7	Democrat	60	50-64	Female	Black	10	0	A10
6a2ac3ef56d89918203efb4c	Republican	38	35-49	Female	Mixed	7	20	F7
6a2ac491ae8fd89bab0c414f	Independent	55	50-64	Female	Black	5	60	P5
6a2ac6652ffea5166ccbb359	Democrat	43	35-49	Female	Black	9	64	Q9
6a2ac6e534b888dfbbe6ac2c	Republican	52	50-64	Female	Black	8	44	L8
6a2ac796631c5955864b474d	Independent	19	18-34	Male	Other	6	35	J6
6a2ac7b0b81777ce49052558	Democrat	56	50-64	Male	Asian	6	60	P6
6a2ac7de7e7f16e5f419dcfd	Democrat	59	50-64	Male	White	7	40	K7
6a2ac9b71e33df9e746dfafd	Independent	20	18-34	Male	White	7	22	F7
6a2aca12c0f634c8f1faad41	Independent	25	18-34	Male	Other	9	1	A9
6a2aca21814657444d152ffd	Democrat	18	18-34	Male	Mixed	7	78	U7
6a2aca3eeba29971bd65c105	Democrat	23	18-34	Female	Other	7	50	N7
6a2acaadce379ea974c14897	Independent	57	50-64	Male	Black	7	47	M7
6a2acba066b873cd92bf2c56	Republican	47	35-49	Female	Mixed	0	0	A0
6a2acccc75fb3ea437bad33c	Democrat	56	50-64	Female	Mixed	8	24	G8
6a2acdc6b5358748ed720ba9	Democrat	70	65+	Female	White	7	71	S7
6a2acefa865bda74f6ad4021	Independent	45	35-49	Male	Asian	9	75	T9
6a2acf0b2d5ee9ba51fe7a86	Republican	46	35-49	Male	Black	6	70	S6
6a2acf51c04ba0b8b85e9423	Independent	37	35-49	Male	Other	6	38	J6
6a2ad09aeaa07169c4f029ba	Democrat	27	18-34	Male	Mixed	10	50	N10
6a2ad0ab8603341ae13b0ed8	Republican	61	50-64	Female	Other	4	40	K4
6a2ad0d146f44621cd0c8ee8	Republican	42	35-49	Female	Other	4	50	N4
6a2ad176f8d4b9d6c5e6ac35	Independent	41	35-49	Male	Black	7	81	V7
6a2ad28b4c975a7f232e901e	Republican	18	18-34	Female	Asian	7	31	I7
6a2ad378c785b4be66c57216	Republican	67	65+	Female	Asian	6	60	P6
6a2ad7644c6b7c19a639d52b	Republican	70	65+	Female	Black	1	10	C1
6a2adc4102728363bea804e5	Republican	22	18-34	Male	Black	3	28	H3
6a2adddf3bc05d3d36c7f9e0	Republican	30	18-34	Female	Other	1	15	D1
6a2adf95d8927af1f449dd32	Democrat	78	65+	Male	Mixed	10	100	Z10
6a2ae4556c74157c56a3a1ec	Independent	23	18-34	Female	Other	7	83	V7
6a2ae7aa029808833a3238ef	Democrat	26	18-34	Female	Black	10	50	N10
6a2aea303239b4bb5eae9e03	Independent	56	50-64	Female	Asian	5	82	V5
6a2aea591c73d60664ecd1ef	Republican	58	50-64	Female	Mixed	1	17	E1
6a2aeb41f898ced9d5362a01	Independent	55	50-64	Male	Other	2	80	U2
6a2aeb5ea9fee31a2c886803	Republican	29	18-34	Female	Asian	6	60	P6
6a2aed4a064da5cb460d5b91	Democrat	50	50-64	Female	Black	7	77	U7
6a2aeda98cc53aba54fdba8b	Republican	31	18-34	Male	Other	10	18	E10
6a2aefd97be0b6e8cbde1d45	Independent	49	35-49	Female	Other	7	80	U7
6a2af1dff01e0c4091217d69	Republican	18	18-34	Male	Other	5	52	N5
6a2af8356873725189af5796	Independent	64	50-64	Female	Other	6	64	Q6
6a2af84b7964a1afaef4869f	Democrat	64	50-64	Female	Other	8	30	H8
6a2afbb7907c8b8e3df44166	Republican	50	50-64	Female	Other	2	0	A2
6a2b0043920c4930d0b58e79	Democrat	70	65+	Male	Other	8	83	V8
6a2b026e2acecb12f9a2a702	Republican	18	18-34	Female	Mixed	7	20	F7
6a2b11afed196b7270251e1e	Independent	76	65+	Male	Black	9	25	G9
6a2b2c9c4ae9e952d99599d2	Democrat	51	50-64	Male	Other	4	16	E4
6a2b67518a11b1bff479df70	Republican	22	18-34	Female	Other	8	31	I8
6a2b6f9cef3e604e6d6e6267	Republican	62	50-64	Male	Other	9	71	S9
